Designator,Part Number,Quantity,Description,Manufacturer
"C1,C2",TAJB226K016RNJ,2,22uf Case B Tantalum capacitor,AVX
C4,C0603C104M5REC7411,1,0.1uf 0603 MLCC,KEMET
C3,F930J227KBA,1,220uf Case B Tantalum capacitor,AVX
"R1,R2",RK73H1JTTD2201F,2,2.2k ohm 0603 resistor,KOA Speer
"R3,R4",RK73H1JTTD1801F,2,1.8k ohm 0603 resistor,KOA Speer
R5,RK73H1JTTD2701F,1,2.7k ohm 0603 resistor,KOA Speer
R6,RK73H1JTTD1500F,1,150 ohm 0603 resistor,KOA Speer
R7,RK73H1JTTD47R0F,1,47 ohm 0603 resistor,KOA Speer
R8,RK73H1JTTD75R0F,1,75 ohm 0603 resistor,KOA Speer
U1,SN74LS86ADR,1,Quad 2-input XOR Logic Gates,Texas Instruments
"T1,T2",MMBT3904LT1G,2,2N3904 SOT-23 transitor,ON Semiconductor
